Time,Distance path,Collided,Lateral Response,Distance Actor,Stopping Distance,Crossing Border,Dangerous
2023-03-29 14:41:31.153498,0.11387837823529628,False,0,41.08004649142657,3.79167,False,False
2023-03-29 14:41:31.657005,0.26742781131312393,False,0,37.488149436714956,5.27418,False,False
2023-03-29 14:41:31.659607,0.26742781131312393,False,0,41.21851270435276,5.27418,False,False
2023-03-29 14:41:32.161691,0.20833291382259836,False,0,37.153089936546785,7.06652,False,False
2023-03-29 14:41:32.164360,0.20833291382259836,False,0,41.021555154074676,7.06652,False,False
2023-03-29 14:41:32.667042,0.28733333755422047,False,0,36.458105935437935,8.94304,False,False
2023-03-29 14:41:32.670947,0.28733333755422047,False,0,40.51297566694071,8.94304,False,False
2023-03-29 14:41:33.174479,0.12144310174026167,False,0,35.46945859283728,10.7784,False,False
2023-03-29 14:41:33.177658,0.12144310174026167,False,0,39.69899112890368,10.7784,False,False
2023-03-29 14:41:33.680793,0.34231632181613675,False,0,34.38799982247231,10.8436,False,False
2023-03-29 14:41:33.684008,0.34231632181613675,False,0,38.80025631549235,10.8436,False,False
2023-03-29 14:41:34.185955,0.195402543689839,False,0,31.24263589102678,12.6626,False,False
2023-03-29 14:41:34.187716,0.195402543689839,False,0,37.874402968702675,12.6626,False,False
2023-03-29 14:41:34.189006,0.195402543689839,False,0,33.299852096272495,12.6626,False,False
2023-03-29 14:41:34.690368,0.29974067695153045,False,0,31.758237322207712,14.704,False,False
2023-03-29 14:41:34.694321,0.29974067695153045,False,0,29.38753667320156,14.704,False,False
2023-03-29 14:41:34.697343,0.29974067695153045,False,0,36.53411437044819,14.704,False,False
2023-03-29 14:41:35.199217,0.15694141038855763,False,0,27.312530126769392,16.6472,False,False
2023-03-29 14:41:35.202502,0.15694141038855763,False,0,35.040732408713055,16.6472,False,False
2023-03-29 14:41:35.205127,0.15694141038855763,False,0,30.069808178953174,16.6472,False,False
2023-03-29 14:41:35.709287,0.36205847234739374,False,0,24.96755292672533,18.6105,False,False
2023-03-29 14:41:35.712370,0.36205847234739374,False,0,33.40641964136494,18.6105,False,False
2023-03-29 14:41:35.714474,0.36205847234739374,False,0,28.198722793779076,18.6105,False,False
2023-03-29 14:41:36.217089,0.11978869775277078,False,0,22.66616006745311,20.3827,False,False
2023-03-29 14:41:36.219699,0.11978869775277078,False,0,31.875305334674316,20.3827,False,False
2023-03-29 14:41:36.221161,0.11978869775277078,False,0,26.338932465368163,20.3827,False,False
2023-03-29 14:41:36.723406,0.19167300443201082,False,0,19.61716692481774,22.5672,False,True
2023-03-29 14:41:36.726753,0.19167300443201082,False,0,23.851346282907496,22.5672,False,False
2023-03-29 14:41:36.728946,0.19167300443201082,False,0,29.986406427103816,22.5672,False,False
2023-03-29 14:41:37.231672,0.13698339606273394,False,0,17.014017290766173,24.3297,False,True
2023-03-29 14:41:37.234413,0.13698339606273394,False,0,28.529337389956407,24.3297,False,False
2023-03-29 14:41:37.235632,0.13698339606273394,False,0,21.794540359434105,24.3297,False,False
2023-03-29 14:41:37.737749,0.4354143502559152,False,0,19.166568684329686,26.6508,False,False
